Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
3192000,2400,224,3,4,3,4,0,0,1,0,Perdizes/São Paulo,sale,apartment,-23.5316845,-46.6666312
3190000,2615,211,4,3,2,3,0,0,1,0,Pinheiros/São Paulo,sale,apartment,-23.5613172,-46.7001578
3180000,3500,190,3,2,1,2,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.5529606,-46.6983177
3150000,0,210,4,4,3,3,1,1,0,0,Brooklin/São Paulo,sale,apartment,-23.606882,-46.696656
3119960,0,172,4,3,2,3,0,0,1,0,Moema/São Paulo,sale,apartment,0,0
3100000,0,182,3,5,3,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.60442,-46.668129
3100000,1796,233,4,5,4,4,0,1,1,0,Campo Belo/São Paulo,sale,apartment,-23.6241529,-46.6751668
3059657,0,220,4,5,3,4,0,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.622178,-46.675119
3050003,0,66,3,2,1,1,1,0,1,1,Vila Prudente/São Paulo,sale,apartment,-23.58276,-46.557083
3022000,1000,183,4,3,2,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6044021,-46.6681293
3000000,1456,182,4,4,2,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.603929,-46.66797
2990000,1860,189,4,4,3,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6083351,-46.6589169
2980000,1890,230,2,3,2,4,0,1,1,0,Campo Belo/São Paulo,sale,apartment,-23.6251456,-46.6749343
2970000,0,182,4,4,2,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.604402,-46.668129
2960700,0,218,4,1,0,6,1,0,1,1,Vila Leopoldina/São Paulo,sale,apartment,-23.532813,-46.717593
2950000,2800,239,3,3,1,2,1,1,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.565531,-46.659905
2950000,2800,172,2,3,2,3,0,1,0,0,Moema/São Paulo,sale,apartment,-23.5999624,-46.6654731
2916530,0,225,3,4,3,3,0,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5422505,-46.7063216
2900000,1750,311,3,4,3,4,0,0,0,0,Casa Verde/São Paulo,sale,apartment,-23.5097376,-46.650593
2890000,4000,240,4,4,3,4,1,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.568771,-46.653762
2890000,1720,172,3,5,3,3,1,0,1,0,Moema/São Paulo,sale,apartment,-23.605876,-46.672687
2890000,2200,151,3,4,3,3,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5002428,-46.6276118
2890000,0,182,4,4,3,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6032159,-46.6673654
2890000,2600,240,3,5,3,3,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.583434,-46.675269
2880000,2600,240,4,4,3,3,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5834348,-46.6752691
2820000,2480,235,3,6,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.561754,-46.697995
2800000,4000,210,4,3,2,3,1,0,1,0,Santa Cecília/São Paulo,sale,apartment,-23.538474,-46.66133
2800000,2450,256,3,5,2,2,0,0,0,0,Santa Cecília/São Paulo,sale,apartment,-23.538034,-46.657955
2800000,2500,173,3,4,3,3,0,0,1,0,Moema/São Paulo,sale,apartment,-26.9225117,-49.0607072
2800000,825,200,2,1,0,2,0,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,0,0
2800000,2000,265,4,5,4,4,0,0,0,0,Santana/São Paulo,sale,apartment,-23.4937573,-46.628264
2800000,2000,180,3,3,2,3,1,1,0,0,Itaim Bibi/São Paulo,sale,apartment,-23.5787926,-46.6751662
2790000,1650,225,4,4,3,4,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614144,-46.688294
2790000,2950,200,3,6,3,3,0,1,0,0,Santa Cecília/São Paulo,sale,apartment,-23.538636,-46.659843
2730000,1900,250,4,5,3,4,1,0,1,0,Santana/São Paulo,sale,apartment,-23.496746,-46.630995
2730000,1580,146,3,4,3,2,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5856344,-46.6746505
2710001,2600,211,3,4,3,3,1,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.549118,-46.7104
2700000,0,180,2,3,2,2,0,1,0,0,Brooklin/São Paulo,sale,apartment,-23.606882,-46.696656
2700000,2000,264,3,4,3,4,1,1,1,0,Tatuapé/São Paulo,sale,apartment,-23.547326,-46.570007
2680001,0,168,2,3,2,3,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.554117,-46.686749
2660000,0,150,3,4,3,3,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6210099,-46.6956445
2650000,0,206,4,1,4,3,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.600556,-46.674643
2650000,2450,223,3,4,3,4,1,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.623522,-46.675777
2650000,2644,173,2,3,2,3,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6003545,-46.6719456
2650000,2862,191,4,5,4,4,0,0,1,0,Pinheiros/São Paulo,sale,apartment,-23.5602579,-46.6737416
2600000,3200,213,4,2,1,3,1,0,0,0,Consolação/São Paulo,sale,apartment,-23.546155,-46.660877
2600000,2400,187,3,5,2,2,1,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.567173,-46.662645
2600000,1700,250,4,6,4,4,1,0,1,0,Santo Amaro/São Paulo,sale,apartment,-23.625495,-46.696665
2600000,3300,184,3,2,1,3,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5522763,-46.7199012
2600000,0,206,4,1,4,3,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.600556,-46.674643
2600000,3500,295,3,3,2,1,0,0,0,0,Bela Vista/São Paulo,sale,apartment,0,0
2600000,2270,200,3,2,1,2,0,0,0,0,Itaim Bibi/São Paulo,sale,apartment,-23.5855931,-46.6879087
2590000,2056,193,3,4,3,2,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-1.3641735,-48.2698339
2590000,1700,165,4,3,2,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.5997697,-46.6658232
2590000,0,209,4,3,2,5,0,0,0,0,Perdizes/São Paulo,sale,apartment,-23.533033,-46.67824
2590000,2056,193,3,5,3,2,1,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.569688,-46.653505
2550000,1700,348,3,2,1,1,0,0,0,0,República/São Paulo,sale,apartment,-23.544683,-46.644157
2550000,1700,348,3,2,1,1,0,0,0,0,República/São Paulo,sale,apartment,-23.5446487,-46.6431909
2550000,1056,193,4,3,2,2,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,0,0
2550000,2056,193,3,2,1,2,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.5696883,-46.6535053
2550000,2200,240,4,3,2,3,0,1,1,0,Perdizes/São Paulo,sale,apartment,-23.5356097,-46.682739
